"MSA","FIPS"
"RURAL","13011"
"ATLANTA, GA","13013"
"ATLANTA, GA","13015"
"RURAL","13017"
"RURAL","13019"
"MACON, GA","13021"
"RURAL","13023"
"RURAL","13025"
"RURAL","13027"
"SAVANNAH, GA","13029"
"RURAL","13031"
"RURAL","13033"
"RURAL","13035"
"RURAL","13037"
"RURAL","13039"
"RURAL","13043"
"ATLANTA, GA","13045"
"CHATTANOOGA, TN","13047"
"RURAL","13049"
"SAVANNAH, GA","13051"
"RURAL","13055"
"ATLANTA, GA","13057"
"ATHENS, GA","13059"
"ATLANTA, GA","13063"
"RURAL","13065"
"ATLANTA, GA","13067"
"RURAL","13069"
"RURAL","13071"
"AUGUSTA, GA","13073"
"RURAL","13075"
"ATLANTA, GA","13077"
"RURAL","13079"
"RURAL","13081"
"CHATTANOOGA, TN","13083"
"RURAL","13085"
"RURAL","13087"
"ATLANTA, GA","13089"
"RURAL","13091"
"RURAL","13093"
"ALBANY, GA","13095"
"ATLANTA, GA","13097"
"RURAL","13099"
"RURAL","13101"
"SAVANNAH, GA","13103"
"RURAL","13105"
"RURAL","13107"
"RURAL","13109"
"RURAL","13111"
"ATLANTA, GA","13113"
"RURAL","13115"
"ATLANTA, GA","13117"
"RURAL","13119"
"ATLANTA, GA","13121"
"RURAL","13123"
"RURAL","13127"
"RURAL","13129"
"RURAL","13131"
"RURAL","13133"
"ATLANTA, GA","13135"
"RURAL","13137"
"RURAL","13139"
"RURAL","13141"
"RURAL","13143"
"COLUMBUS, GA","13145"
"RURAL","13147"
"RURAL","13149"
"ATLANTA, GA","13151"
"MACON, GA","13153"
"RURAL","13155"
"RURAL","13157"
"RURAL","13159"
"RURAL","13161"
"RURAL","13163"
"RURAL","13165"
"RURAL","13167"
"MACON, GA","13169"
"RURAL","13171"
"RURAL","13173"
"RURAL","13175"
"ALBANY, GA","13177"
"RURAL","13179"
"RURAL","13181"
"RURAL","13183"
"RURAL","13185"
"RURAL","13187"
"AUGUSTA, GA","13189"
"RURAL","13191"
"RURAL","13193"
"ATHENS, GA","13195"
"RURAL","13197"
"RURAL","13199"
"RURAL","13201"
"RURAL","13205"
"RURAL","13207"
"RURAL","13209"
"RURAL","13211"
"RURAL","13213"
"COLUMBUS, GA","13215"
"ATLANTA, GA","13217"
"ATHENS, GA","13219"
"RURAL","13221"
"ATLANTA, GA","13223"
"MACON, GA","13225"
"ATLANTA, GA","13227"
"RURAL","13229"
"RURAL","13231"
"RURAL","13233"
"RURAL","13235"
"RURAL","13237"
"RURAL","13239"
"RURAL","13241"
"RURAL","13243"
"AUGUSTA, GA","13245"
"ATLANTA, GA","13247"
"RURAL","13249"
"RURAL","13251"
"RURAL","13253"
"ATLANTA, GA","13255"
"RURAL","13257"
"RURAL","13259"
"RURAL","13261"
"RURAL","13263"
"RURAL","13267"
"RURAL","13269"
"RURAL","13271"
"RURAL","13273"
"RURAL","13275"
"RURAL","13277"
"RURAL","13279"
"RURAL","13281"
"RURAL","13283"
"RURAL","13285"
"RURAL","13287"
"MACON, GA","13289"
"RURAL","13291"
"RURAL","13293"
"CHATTANOOGA, TN","13295"
"ATLANTA, GA","13297"
"RURAL","13299"
"RURAL","13301"
"RURAL","13303"
"RURAL","13305"
"RURAL","13311"
"RURAL","13313"
"RURAL","13315"
"RURAL","13317"
"RURAL","13319"
"RURAL","13321"
"RURAL","15001"
"HONOLULU, HI","15003"
"RURAL","15007"
"RURAL","15009"
"BOISE, ID","16001"
"RURAL","16003"
"POCATELLO, ID","16005"
"RURAL","16007"
"RURAL","16009"
"RURAL","16011"
"RURAL","16013"
"RURAL","16015"
"RURAL","16017"
"RURAL","16019"
"RURAL","16021"
"RURAL","16023"
"RURAL","16025"
"BOISE, ID","16027"
"RURAL","16029"
"RURAL","16031"
"RURAL","16035"
"RURAL","16037"
"RURAL","16039"
"RURAL","16041"
"RURAL","16043"
"RURAL","16045"
"RURAL","16047"
"RURAL","16049"
"RURAL","16051"
"RURAL","16053"
"RURAL","16055"
"RURAL","16057"
"RURAL","16059"
"RURAL","16061"
"RURAL","16063"
"RURAL","16065"
"RURAL","16067"
"RURAL","16069"
"RURAL","16071"
"RURAL","16073"
"RURAL","16075"
"RURAL","16077"
"RURAL","16079"
"RURAL","16081"
"RURAL","16083"
"RURAL","16085"
"RURAL","16087"
"RURAL","17001"
"RURAL","17003"
"RURAL","17005"
"ROCKFORD, IL","17007"
"RURAL","17009"
"RURAL","17011"
"RURAL","17013"
"RURAL","17015"
"RURAL","17017"
"CHAMPAIGN, IL","17019"
"RURAL","17021"
"RURAL","17023"
"RURAL","17025"
"SAINT LOUIS, MO","17027"
"RURAL","17029"
"CHICAGO, IL","17031"
"RURAL","17033"
"RURAL","17035"
"CHICAGO, IL","17037"
"RURAL","17039"
"RURAL","17041"
"CHICAGO, IL","17043"
"RURAL","17045"
"RURAL","17047"
"RURAL","17049"
"RURAL","17051"
"RURAL","17053"
"RURAL","17055"
"RURAL","17057"
"RURAL","17059"
"RURAL","17061"
"CHICAGO, IL","17063"
"RURAL","17065"
"RURAL","17067"
"RURAL","17069"
"RURAL","17071"
"DAVENPORT, IA","17073"
"RURAL","17075"
"RURAL","17077"
"RURAL","17079"
"RURAL","17081"
"SAINT LOUIS, MO","17083"
"RURAL","17085"
"RURAL","17087"
"CHICAGO, IL","17089"
"CHICAGO, IL","17091"
"CHICAGO, IL","17093"
"RURAL","17095"
"CHICAGO, IL","17097"
"RURAL","17099"
"RURAL","17101"
"RURAL","17103"
"RURAL","17105"
"RURAL","17107"
"RURAL","17109"
"CHICAGO, IL","17111"
"BLOOMINGTON, IL","17113"
"DECATUR, IL","17115"
"RURAL","17117"
"SAINT LOUIS, MO","17119"
"RURAL","17121"
"RURAL","17123"
"RURAL","17125"
"RURAL","17127"
"SPRINGFIELD, IL","17129"
"RURAL","17131"
"SAINT LOUIS, MO","17133"
"RURAL","17135"
"RURAL","17137"
"RURAL","17139"
"ROCKFORD, IL","17141"
"PEORIA, IL","17143"
"RURAL","17145"
"RURAL","17147"
"RURAL","17149"
"RURAL","17151"
"RURAL","17153"
"RURAL","17155"
"RURAL","17157"
"RURAL","17159"
"DAVENPORT, IA","17161"
"SAINT LOUIS, MO","17163"
"RURAL","17165"
"SPRINGFIELD, IL","17167"
"RURAL","17169"
"RURAL","17171"
"RURAL","17173"
"RURAL","17175"
"RURAL","17177"
"PEORIA, IL","17179"
"RURAL","17181"
"RURAL","17183"
"RURAL","17185"
"RURAL","17187"
"RURAL","17189"
"RURAL","17191"
"RURAL","17193"
"RURAL","17195"
"CHICAGO, IL","17197"
"RURAL","17199"
"ROCKFORD, IL","17201"
"PEORIA, IL","17203"
"FORT WAYNE, IN","18001"
"FORT WAYNE, IN","18003"
"RURAL","18005"
"RURAL","18007"
"RURAL","18009"
"INDIANAPOLIS, IN","18011"
"RURAL","18013"
"RURAL","18015"
"RURAL","18017"
"LOUISVILLE, KY","18019"
"TERRE HAUTE, IN","18021"
"LAFAYETTE, IN","18023"
"RURAL","18025"
"RURAL","18027"
"CINCINNATI, OH","18029"
"RURAL","18031"
"FORT WAYNE, IN","18033"
"MUNCIE, IN","18035"
"RURAL","18037"
"ELKHART, IN","18039"
"RURAL","18041"
"LOUISVILLE, KY","18043"
"RURAL","18045"
"RURAL","18047"
"RURAL","18049"
"RURAL","18051"
"RURAL","18053"
"RURAL","18055"
"INDIANAPOLIS, IN","18057"
"INDIANAPOLIS, IN","18059"
"LOUISVILLE, KY","18061"
"INDIANAPOLIS, IN","18063"
"RURAL","18065"
"KOKOMO, IN","18067"
"FORT WAYNE, IN","18069"
"RURAL","18071"
"RURAL","18073"
"RURAL","18075"
"RURAL","18077"
"RURAL","18079"
"INDIANAPOLIS, IN","18081"
"RURAL","18083"
"RURAL","18085"
"RURAL","18087"
"CHICAGO, IL","18089"
"RURAL","18091"
"RURAL","18093"
"INDIANAPOLIS, IN","18095"
"INDIANAPOLIS, IN","18097"
"RURAL","18099"
"RURAL","18101"
"RURAL","18103"
"BLOOMINGTON, IN","18105"
"RURAL","18107"
"INDIANAPOLIS, IN","18109"
"RURAL","18111"
"RURAL","18113"
"CINCINNATI, OH","18115"
"RURAL","18117"
"RURAL","18119"
"RURAL","18121"
"RURAL","18123"
"RURAL","18125"
"CHICAGO, IL","18127"
"EVANSVILLE, IN","18129"
"RURAL","18131"
"RURAL","18133"
"RURAL","18135"
"RURAL","18137"
"RURAL","18139"
"SOUTH BEND, IN","18141"
"LOUISVILLE, KY","18143"
"INDIANAPOLIS, IN","18145"
"RURAL","18147"
"RURAL","18149"
"RURAL","18151"
"RURAL","18153"
"RURAL","18155"
"LAFAYETTE, IN","18157"
"KOKOMO, IN","18159"
"RURAL","18161"
"EVANSVILLE, IN","18163"
"TERRE HAUTE, IN","18165"
"TERRE HAUTE, IN","18167"
"RURAL","18169"
"RURAL","18171"
"EVANSVILLE, IN","18173"
"RURAL","18175"
"RURAL","18177"
"FORT WAYNE, IN","18179"
"RURAL","18181"
"FORT WAYNE, IN","18183"
"RURAL","19001"
"RURAL","19003"
"RURAL","19005"
"RURAL","19007"
"RURAL","19009"
"RURAL","19011"
"WATERLOO, IA","19013"
"RURAL","19015"
"RURAL","19017"
"RURAL","19019"
"RURAL","19021"
"RURAL","19023"
"RURAL","19025"
"RURAL","19027"
"RURAL","19029"
"RURAL","19031"
"RURAL","19033"
"RURAL","19035"
"RURAL","19037"
"RURAL","19039"
"RURAL","19041"
"RURAL","19043"
"RURAL","19045"
"RURAL","19047"
"DES MOINES, IA","19049"
"RURAL","19051"
"RURAL","19053"
"RURAL","19055"
"RURAL","19057"
"RURAL","19059"
"DUBUQUE, IA","19061"
"RURAL","19063"
"RURAL","19065"
"RURAL","19067"
"RURAL","19069"
"RURAL","19071"
"RURAL","19073"
"RURAL","19075"
"RURAL","19077"
"RURAL","19079"
"RURAL","19081"
"RURAL","19083"
"RURAL","19085"
"RURAL","19087"
"RURAL","19089"
"RURAL","19091"
"RURAL","19093"
"RURAL","19095"
"RURAL","19097"
"RURAL","19099"
"RURAL","19101"
"IOWA CITY, IA","19103"
"RURAL","19105"
"RURAL","19107"
"RURAL","19109"
"RURAL","19111"
"CEDAR RAPIDS, IA","19113"
"RURAL","19115"
"RURAL","19117"
"RURAL","19119"
"RURAL","19121"
"RURAL","19123"
"RURAL","19125"
"RURAL","19127"
"RURAL","19129"
"RURAL","19131"
"RURAL","19133"
"RURAL","19135"
"RURAL","19137"
"RURAL","19139"
"RURAL","19141"
"RURAL","19143"
"RURAL","19145"
"RURAL","19147"
"RURAL","19149"
"RURAL","19151"
"DES MOINES, IA","19153"
"OMAHA, NE","19155"
"RURAL","19157"
"RURAL","19159"
"RURAL","19161"
"DAVENPORT, IA","19163"
"RURAL","19165"
"RURAL","19167"
"RURAL","19169"
"RURAL","19171"
"RURAL","19173"
"RURAL","19175"
"RURAL","19177"
"RURAL","19179"
"DES MOINES, IA","19181"
"RURAL","19183"
"RURAL","19185"
"RURAL","19187"
"RURAL","19189"
"RURAL","19191"
"SIOUX CITY, IA","19193"
"RURAL","19195"
"RURAL","19197"
"RURAL","20001"
"RURAL","20003"
"RURAL","20005"
"RURAL","20007"
"RURAL","20009"
"RURAL","20011"
"RURAL","20013"
"WICHITA, KS","20015"
"RURAL","20017"
"RURAL","20019"
"RURAL","20021"
"RURAL","20023"
"RURAL","20025"
"RURAL","20027"
"RURAL","20029"
"RURAL","20031"
"RURAL","20033"
"RURAL","20035"
"RURAL","20037"
"RURAL","20039"
"RURAL","20041"
"RURAL","20043"
"LAWRENCE, KS","20045"
"RURAL","20047"
"RURAL","20049"
"RURAL","20051"
"RURAL","20053"
"RURAL","20055"
"RURAL","20057"
"RURAL","20059"
"RURAL","20061"
"RURAL","20063"
"RURAL","20065"
"RURAL","20067"
"RURAL","20069"
"RURAL","20071"
"RURAL","20073"
"RURAL","20075"
"RURAL","20077"
"WICHITA, KS","20079"
"RURAL","20081"
"RURAL","20083"
"RURAL","20085"
"RURAL","20087"
"RURAL","20089"
"KANSAS CITY, MO","20091"
"RURAL","20093"
"RURAL","20095"
"RURAL","20097"
"RURAL","20099"
"RURAL","20101"
"KANSAS CITY, MO","20103"
"RURAL","20105"
"RURAL","20107"
"RURAL","20109"
"RURAL","20111"
"RURAL","20113"
"RURAL","20115"
"RURAL","20117"
"RURAL","20119"
"KANSAS CITY, MO","20121"
"RURAL","20123"
"RURAL","20125"
"RURAL","20127"
"RURAL","20129"
"RURAL","20131"
"RURAL","20133"
"RURAL","20135"
"RURAL","20137"
"RURAL","20139"
"RURAL","20141"
"RURAL","20143"
"RURAL","20145"
"RURAL","20147"
"RURAL","20149"
"RURAL","20151"
"RURAL","20153"
"RURAL","20155"
"RURAL","20157"
"RURAL","20159"
"RURAL","20161"
"RURAL","20163"
"RURAL","20165"
"RURAL","20167"
"RURAL","20169"
"RURAL","20171"
"WICHITA, KS","20173"
"RURAL","20175"
"TOPEKA, KS","20177"
"RURAL","20179"
"RURAL","20181"
"RURAL","20183"
"RURAL","20185"
"RURAL","20189"
"RURAL","20191"
"RURAL","20193"
"RURAL","20195"
"RURAL","20197"
"RURAL","20199"
"RURAL","20201"
"RURAL","20203"
"RURAL","20205"
"RURAL","20207"
"KANSAS CITY, MO","20209"
"RURAL","21001"
"RURAL","21003"
"RURAL","21005"
"RURAL","21007"
"RURAL","21009"
"RURAL","21011"
"RURAL","21013"
"CINCINNATI, OH","21015"
"LEXINGTON, KY","21017"
"HUNTINGTON, WV","21019"
"RURAL","21021"
"RURAL","21023"
"RURAL","21025"
"RURAL","21027"
"LOUISVILLE, KY","21029"
"RURAL","21031"
"RURAL","21033"
"RURAL","21035"
"CINCINNATI, OH","21037"
"RURAL","21039"
"RURAL","21041"
"HUNTINGTON, WV","21043"
"RURAL","21045"
"CLARKSVILLE, TN","21047"
"LEXINGTON, KY","21049"
"RURAL","21051"
"RURAL","21053"
"RURAL","21055"
"RURAL","21057"
"OWENSBORO, KY","21059"
"RURAL","21061"
"RURAL","21063"
"RURAL","21065"
"LEXINGTON, KY","21067"
"RURAL","21069"
"RURAL","21071"
"RURAL","21073"
"RURAL","21075"
"CINCINNATI, OH","21077"
"RURAL","21079"
"CINCINNATI, OH","21081"
"RURAL","21083"
"RURAL","21085"
"RURAL","21087"
"HUNTINGTON, WV","21089"
"RURAL","21091"
"RURAL","21093"
"RURAL","21095"
"RURAL","21097"
"RURAL","21099"
"EVANSVILLE, IN","21101"
"RURAL","21103"
"RURAL","21105"
"RURAL","21107"
"RURAL","21109"
"LOUISVILLE, KY","21111"
"LEXINGTON, KY","21113"
"RURAL","21115"
"CINCINNATI, OH","21117"
"RURAL","21119"
"RURAL","21121"
"RURAL","21123"
"RURAL","21125"
"RURAL","21127"
"RURAL","21129"
"RURAL","21131"
"RURAL","21133"
"RURAL","21135"
"RURAL","21137"
"RURAL","21139"
"RURAL","21141"
"RURAL","21143"
"RURAL","21145"
"RURAL","21147"
"RURAL","21149"
"LEXINGTON, KY","21151"
"RURAL","21153"
"RURAL","21155"
"RURAL","21157"
"RURAL","21159"
"RURAL","21161"
"RURAL","21163"
"RURAL","21165"
"RURAL","21167"
"RURAL","21169"
"RURAL","21171"
"RURAL","21173"
"RURAL","21175"
"RURAL","21177"
"RURAL","21179"
"RURAL","21181"
"RURAL","21183"
"LOUISVILLE, KY","21185"
"RURAL","21187"
"RURAL","21189"
"CINCINNATI, OH","21191"
"RURAL","21193"
"RURAL","21195"
"RURAL","21197"
"RURAL","21199"
"RURAL","21203"
"RURAL","21205"
"RURAL","21207"
"LEXINGTON, KY","21209"
"RURAL","21211"
"RURAL","21213"
"RURAL","21215"
"RURAL","21217"
"RURAL","21219"
"RURAL","21221"
"RURAL","21223"
"RURAL","21225"
"RURAL","21227"
"RURAL","21229"
"RURAL","21231"
"RURAL","21233"
"RURAL","21235"
"RURAL","21237"
"LEXINGTON, KY","21239"
"LAFAYETTE, LA","22001"
"RURAL","22003"
"BATON ROUGE, LA","22005"
"RURAL","22007"
"RURAL","22009"
"RURAL","22011"
"RURAL","22013"
"SHREVEPORT, LA","22015"
"SHREVEPORT, LA","22017"
"LAKE CHARLES, LA","22019"
"RURAL","22021"
"RURAL","22023"
"RURAL","22025"
"RURAL","22027"
"RURAL","22029"
"RURAL","22031"
"BATON ROUGE, LA","22033"
"RURAL","22035"
"RURAL","22037"
"RURAL","22039"
"RURAL","22041"
"RURAL","22043"
"RURAL","22045"
"RURAL","22047"
"RURAL","22049"
"NEW ORLEANS, LA","22051"
"RURAL","22053"
"LAFAYETTE, LA","22055"
"HOUMA, LA","22057"
"RURAL","22059"
"RURAL","22061"
"BATON ROUGE, LA","22063"
"RURAL","22065"
"RURAL","22067"
"RURAL","22069"
"NEW ORLEANS, LA","22071"
"MONROE, LA","22073"
"NEW ORLEANS, LA","22075"
"RURAL","22077"
"ALEXANDRIA, LA","22079"
"RURAL","22081"
"RURAL","22083"
"RURAL","22085"
"NEW ORLEANS, LA","22087"
"NEW ORLEANS, LA","22089"
"RURAL","22091"
"NEW ORLEANS, LA","22093"
"NEW ORLEANS, LA","22095"
"LAFAYETTE, LA","22097"
"LAFAYETTE, LA","22099"
"RURAL","22101"
"NEW ORLEANS, LA","22103"
"RURAL","22105"
"RURAL","22107"
"HOUMA, LA","22109"
"RURAL","22111"
"RURAL","22113"
"RURAL","22115"
"RURAL","22117"
"SHREVEPORT, LA","22119"
"BATON ROUGE, LA","22121"
"RURAL","22123"
"RURAL","22125"
"RURAL","22127"
"LEWISTON, ME","23001"
"RURAL","23003"
"PORTLAND, ME","23005"
"RURAL","23007"
"RURAL","23009"
"RURAL","23011"
"RURAL","23013"
"RURAL","23015"
"RURAL","23017"
"BANGOR, ME","23019"
"RURAL","23021"
"RURAL","23023"
"RURAL","23025"
"RURAL","23027"
"RURAL","23029"
"RURAL","23031"
"CUMBERLAND, MD","24001"
"WASHINGTON, DC","24003"
"WASHINGTON, DC","24005"
"WASHINGTON, DC","24009"
"RURAL","24011"
"WASHINGTON, DC","24013"
"PHILADELPHIA, PA","24015"
"WASHINGTON, DC","24017"
"RURAL","24019"
"WASHINGTON, DC","24021"
"RURAL","24023"
"WASHINGTON, DC","24025"
"WASHINGTON, DC","24027"
"RURAL","24029"
"WASHINGTON, DC","24031"
"WASHINGTON, DC","24033"
"WASHINGTON, DC","24035"
"RURAL","24037"
"RURAL","24039"
"RURAL","24041"
