"fips","MSA","year","population"
"F-02290","RURAL",2000,6551
"F-04001","RURAL",2010,71518
"F-04001","RURAL",2000,69423
"F-04003","RURAL",2010,131346
"F-04003","RURAL",2000,117755
"F-04005","FLAGSTAFF, AZ",2010,134421
"F-04005","FLAGSTAFF, AZ",2000,116320
"F-04007","RURAL",2010,53597
"F-04007","RURAL",2000,51335
"F-04009","RURAL",2010,37220
"F-04009","RURAL",2000,33489
"F-04011","RURAL",2010,8437
"F-04011","RURAL",2000,8547
"F-04012","RURAL",2000,19715
"F-04012","RURAL",2010,20489
"F-04013","PHOENIX, AZ",2000,3072149
"F-04013","PHOENIX, AZ",2010,3817117
"F-04015","LAS VEGAS, NV",2000,155032
"F-04015","LAS VEGAS, NV",2010,200186
"F-04017","RURAL",2000,97470
"F-04017","RURAL",2010,107449
"F-04019","TUCSON, AZ",2000,843746
"F-04019","TUCSON, AZ",2010,980263
"F-04021","PHOENIX, AZ",2010,375770
"F-04021","PHOENIX, AZ",2000,179727
"F-04023","RURAL",2000,38381
"F-04023","RURAL",2010,47420
"F-04025","RURAL",2000,167517
"F-04025","RURAL",2010,211033
"F-04027","YUMA, AZ",2000,160026
"F-04027","YUMA, AZ",2010,195751
"F-05001","RURAL",2000,20749
"F-05001","RURAL",2010,19019
"F-05003","RURAL",2010,21853
"F-05003","RURAL",2000,24209
"F-05005","RURAL",2010,41513
"F-05005","RURAL",2000,38386
"F-05007","FAYETTEVILLE, AR",2000,153406
"F-05007","FAYETTEVILLE, AR",2010,221339
"F-05009","RURAL",2000,33948
"F-05009","RURAL",2010,36903
"F-05011","RURAL",2010,11508
"F-05011","RURAL",2000,12600
"F-05013","RURAL",2000,5744
"F-05013","RURAL",2010,5368
"F-05015","RURAL",2000,25357
"F-05015","RURAL",2010,27446
"F-05017","RURAL",2000,14117
"F-05017","RURAL",2010,11800
"F-05019","RURAL",2000,23546
"F-05019","RURAL",2010,22995
"F-05021","RURAL",2010,16083
"F-05021","RURAL",2000,17609
"F-05023","RURAL",2010,25970
"F-05023","RURAL",2000,24046
"F-05025","RURAL",2000,8571
"F-05025","RURAL",2010,8689
"F-05027","RURAL",2000,25603
"F-05027","RURAL",2010,24552
"F-05029","RURAL",2010,21273
"F-05029","RURAL",2000,20336
"F-05031","JONESBORO, AR",2000,82148
"F-05031","JONESBORO, AR",2010,96443
"F-05033","FORT SMITH, AR",2010,61948
"F-05033","FORT SMITH, AR",2000,53247
"F-05035","MEMPHIS, TN",2000,50866
"F-05035","MEMPHIS, TN",2010,50902
"F-05037","RURAL",2010,17870
"F-05037","RURAL",2000,19526
"F-05039","RURAL",2000,9210
"F-05039","RURAL",2010,8116
"F-05041","RURAL",2010,13008
"F-05041","RURAL",2000,15341
"F-05043","RURAL",2000,18723
"F-05043","RURAL",2010,18509
"F-05045","LITTLE ROCK, AR",2010,113237
"F-05045","LITTLE ROCK, AR",2000,86014
"F-05047","RURAL",2010,18125
"F-05047","RURAL",2000,17771
"F-05049","RURAL",2010,12245
"F-05049","RURAL",2000,11642
"F-05051","RURAL",2000,88068
"F-05051","RURAL",2010,96024
"F-05053","RURAL",2000,16464
"F-05053","RURAL",2010,17853
"F-05055","RURAL",2010,42090
"F-05055","RURAL",2000,37331
"F-05057","RURAL",2000,23587
"F-05057","RURAL",2010,22609
"F-05059","RURAL",2010,32923
"F-05059","RURAL",2000,30353
"F-05061","RURAL",2010,13789
"F-05061","RURAL",2000,14300
"F-05063","RURAL",2000,34233
"F-05063","RURAL",2010,36647
"F-05065","RURAL",2010,13696
"F-05065","RURAL",2000,13249
"F-05067","RURAL",2010,17997
"F-05067","RURAL",2000,18418
"F-05069","PINE BLUFF, AR",2010,77435
"F-05069","PINE BLUFF, AR",2000,84278
"F-05071","RURAL",2010,25540
"F-05071","RURAL",2000,22781
"F-05073","RURAL",2010,7645
"F-05073","RURAL",2000,8559
"F-05075","RURAL",2000,17774
"F-05075","RURAL",2010,17415
"F-05077","RURAL",2000,12580
"F-05077","RURAL",2010,10424
"F-05079","RURAL",2010,14134
"F-05079","RURAL",2000,14492
"F-05081","RURAL",2000,13628
"F-05081","RURAL",2010,13171
"F-05083","RURAL",2010,22353
"F-05083","RURAL",2000,22486
"F-05085","LITTLE ROCK, AR",2000,52828
"F-05085","LITTLE ROCK, AR",2010,68356
"F-05087","RURAL",2010,15717
"F-05087","RURAL",2000,14243
"F-05089","RURAL",2000,16140
"F-05089","RURAL",2010,16653
"F-05091","TEXARKANA, TX",2010,43462
"F-05091","TEXARKANA, TX",2000,40443
"F-05093","RURAL",2010,46480
"F-05093","RURAL",2000,51979
"F-05095","RURAL",2010,8149
"F-05095","RURAL",2000,10254
"F-05097","RURAL",2000,9245
"F-05097","RURAL",2010,9487
"F-05099","RURAL",2010,8997
"F-05099","RURAL",2000,9955
"F-05101","RURAL",2010,8330
"F-05101","RURAL",2000,8608
"F-05103","RURAL",2000,28790
"F-05103","RURAL",2010,26120
"F-05105","RURAL",2000,10209
"F-05105","RURAL",2010,10445
"F-05107","RURAL",2010,21757
"F-05107","RURAL",2000,26445
"F-05109","RURAL",2010,11291
"F-05109","RURAL",2000,11303
"F-05111","RURAL",2010,24583
"F-05111","RURAL",2000,25614
"F-05113","RURAL",2010,20662
"F-05113","RURAL",2000,20229
"F-05115","RURAL",2000,54469
"F-05115","RURAL",2010,61754
"F-05117","RURAL",2000,9539
"F-05117","RURAL",2010,8715
"F-05119","LITTLE ROCK, AR",2010,382748
"F-05119","LITTLE ROCK, AR",2000,361474
"F-05121","RURAL",2000,18195
"F-05121","RURAL",2010,17969
"F-05123","RURAL",2010,28258
"F-05123","RURAL",2000,29329
"F-05125","LITTLE ROCK, AR",2000,83529
"F-05125","LITTLE ROCK, AR",2010,107118
"F-05127","RURAL",2010,11233
"F-05127","RURAL",2000,10996
"F-05129","RURAL",2000,8261
"F-05129","RURAL",2010,8195
"F-05131","FORT SMITH, AR",2000,115071
"F-05131","FORT SMITH, AR",2010,125744
"F-05133","RURAL",2000,15757
"F-05133","RURAL",2010,17058
"F-05135","RURAL",2000,17119
"F-05135","RURAL",2010,17264
"F-05137","RURAL",2010,12394
"F-05137","RURAL",2000,11499
"F-05139","RURAL",2010,41639
"F-05139","RURAL",2000,45629
"F-05141","RURAL",2000,16192
"F-05141","RURAL",2010,17295
"F-05143","FAYETTEVILLE, AR",2000,157715
"F-05143","FAYETTEVILLE, AR",2010,203065
"F-05145","RURAL",2000,67165
"F-05145","RURAL",2010,77076
"F-05147","RURAL",2010,7260
"F-05147","RURAL",2000,8741
"F-05149","RURAL",2010,22185
"F-05149","RURAL",2000,21139
"F-06001","SAN FRANCISCO, CA",2010,1510271
"F-06001","SAN FRANCISCO, CA",2000,1443741
"F-06003","RURAL",2000,1208
"F-06003","RURAL",2010,1175
"F-06005","RURAL",2010,38091
"F-06005","RURAL",2000,35100
"F-06007","CHICO, CA",2000,203171
"F-06007","CHICO, CA",2010,220000
"F-06009","RURAL",2000,40554
"F-06009","RURAL",2010,45578
"F-06011","RURAL",2000,18804
"F-06011","RURAL",2010,21419
"F-06013","SAN FRANCISCO, CA",2010,1049025
"F-06013","SAN FRANCISCO, CA",2000,948816
"F-06015","RURAL",2010,28610
"F-06015","RURAL",2000,27507
"F-06017","SACRAMENTO, CA",2010,181058
"F-06017","SACRAMENTO, CA",2000,156299
"F-06019","FRESNO, CA",2010,930450
"F-06019","FRESNO, CA",2000,799407
"F-06021","RURAL",2000,26453
"F-06021","RURAL",2010,28122
"F-06023","RURAL",2000,126518
"F-06023","RURAL",2010,134623
"F-06025","RURAL",2010,174528
"F-06025","RURAL",2000,142361
"F-06027","RURAL",2010,18546
"F-06027","RURAL",2000,17945
"F-06029","BAKERSFIELD, CA",2010,839631
"F-06029","BAKERSFIELD, CA",2000,661645
"F-06031","RURAL",2010,152982
"F-06031","RURAL",2000,129461
"F-06033","RURAL",2000,58309
"F-06033","RURAL",2010,64665
"F-06035","RURAL",2010,34895
"F-06035","RURAL",2000,33828
"F-06037","LOS ANGELES, CA",2010,9818605
"F-06037","LOS ANGELES, CA",2000,9519338
"F-06039","FRESNO, CA",2010,150865
"F-06039","FRESNO, CA",2000,123109
"F-06041","SAN FRANCISCO, CA",2010,252409
"F-06041","SAN FRANCISCO, CA",2000,247289
"F-06043","RURAL",2000,17130
"F-06043","RURAL",2010,18251
"F-06045","RURAL",2010,87841
"F-06045","RURAL",2000,86265
"F-06047","MERCED, CA",2000,210554
"F-06047","MERCED, CA",2010,255793
"F-06049","RURAL",2000,9449
"F-06049","RURAL",2010,9686
"F-06051","RURAL",2010,14202
"F-06051","RURAL",2000,12853
"F-06053","SALINAS, CA",2010,415057
"F-06053","SALINAS, CA",2000,401762
"F-06055","SAN FRANCISCO, CA",2000,124279
"F-06055","SAN FRANCISCO, CA",2010,136484
"F-06057","RURAL",2000,92033
"F-06057","RURAL",2010,98764
"F-06059","LOS ANGELES, CA",2000,2846289
"F-06059","LOS ANGELES, CA",2010,3010232
"F-06061","SACRAMENTO, CA",2000,248399
"F-06061","SACRAMENTO, CA",2010,348432
"F-06063","RURAL",2010,20007
"F-06063","RURAL",2000,20824
"F-06065","LOS ANGELES, CA",2000,1545387
"F-06065","LOS ANGELES, CA",2010,2189641
"F-06067","SACRAMENTO, CA",2010,1418788
"F-06067","SACRAMENTO, CA",2000,1223499
"F-06069","RURAL",2010,55269
"F-06069","RURAL",2000,53234
"F-06071","LOS ANGELES, CA",2000,1709434
"F-06071","LOS ANGELES, CA",2010,2035210
"F-06073","SAN DIEGO, CA",2000,2813833
"F-06073","SAN DIEGO, CA",2010,3095313
"F-06075","SAN FRANCISCO, CA",2010,805235
"F-06075","SAN FRANCISCO, CA",2000,776733
"F-06077","STOCKTON, CA",2000,563598
"F-06077","STOCKTON, CA",2010,685306
"F-06079","SN LUIS OBISP, CA",2010,269637
"F-06079","SN LUIS OBISP, CA",2000,246681
"F-06081","SAN FRANCISCO, CA",2010,718451
"F-06081","SAN FRANCISCO, CA",2000,707161
"F-06083","SANTA BARBARA, CA",2010,423895
"F-06083","SANTA BARBARA, CA",2000,399347
"F-06085","SAN FRANCISCO, CA",2010,1781642
"F-06085","SAN FRANCISCO, CA",2000,1682585
"F-06087","SAN FRANCISCO, CA",2010,262382
"F-06087","SAN FRANCISCO, CA",2000,255602
"F-06089","REDDING, CA",2010,177223
"F-06089","REDDING, CA",2000,163256
"F-06091","RURAL",2000,3555
"F-06091","RURAL",2010,3240
"F-06093","RURAL",2000,44301
"F-06093","RURAL",2010,44900
"F-06095","SAN FRANCISCO, CA",2010,413344
"F-06095","SAN FRANCISCO, CA",2000,394542
"F-06097","SAN FRANCISCO, CA",2000,458614
"F-06097","SAN FRANCISCO, CA",2010,483878
"F-06099","MODESTO, CA",2000,446997
"F-06099","MODESTO, CA",2010,514453
"F-06101","YUBA CITY, CA",2000,78930
"F-06101","YUBA CITY, CA",2010,94737
"F-06103","RURAL",2000,56039
"F-06103","RURAL",2010,63463
"F-06105","RURAL",2000,13022
"F-06105","RURAL",2010,13786
"F-06107","VISALIA, CA",2000,368021
"F-06107","VISALIA, CA",2010,442179
"F-06109","RURAL",2000,54501
"F-06109","RURAL",2010,55365
"F-06111","LOS ANGELES, CA",2000,753197
"F-06111","LOS ANGELES, CA",2010,823318
"F-06113","SACRAMENTO, CA",2010,200849
"F-06113","SACRAMENTO, CA",2000,168660
"F-06115","YUBA CITY, CA",2000,60219
"F-06115","YUBA CITY, CA",2010,72155
"F-08001","DENVER, CO",2000,363857
"F-08001","DENVER, CO",2010,441603
"F-08003","RURAL",2000,14966
"F-08003","RURAL",2010,15445
"F-08005","DENVER, CO",2010,572003
"F-08005","DENVER, CO",2000,487967
"F-08007","RURAL",2000,9898
"F-08007","RURAL",2010,12084
"F-08009","RURAL",2010,3788
"F-08009","RURAL",2000,4517
"F-08011","RURAL",2000,5998
"F-08011","RURAL",2010,6499
"F-08013","DENVER, CO",2010,294567
"F-08013","DENVER, CO",2000,291288
"F-08014","DENVER, CO",2010,55889
"F-08015","RURAL",2000,16242
"F-08015","RURAL",2010,17809
"F-08017","RURAL",2000,2231
"F-08017","RURAL",2010,1836
"F-08019","RURAL",2000,9322
"F-08019","RURAL",2010,9088
"F-08021","RURAL",2010,8256
"F-08021","RURAL",2000,8400
"F-08023","RURAL",2000,3663
"F-08023","RURAL",2010,3524
"F-08025","RURAL",2000,5518
"F-08025","RURAL",2010,5823
"F-08027","RURAL",2000,3503
"F-08027","RURAL",2010,4255
"F-08029","RURAL",2000,27834
"F-08029","RURAL",2010,30952
"F-08031","DENVER, CO",2000,554636
"F-08031","DENVER, CO",2010,600158
"F-08033","RURAL",2010,2064
"F-08033","RURAL",2000,1844
"F-08035","DENVER, CO",2000,175766
"F-08035","DENVER, CO",2010,285465
"F-08037","RURAL",2000,41659
"F-08037","RURAL",2010,52197
"F-08039","RURAL",2000,19872
"F-08039","RURAL",2010,23086
"F-08041","COLORADO SPGS, CO",2010,622263
"F-08041","COLORADO SPGS, CO",2000,516929
"F-08043","RURAL",2000,46145
"F-08043","RURAL",2010,46824
"F-08045","RURAL",2000,43791
"F-08045","RURAL",2010,56389
"F-08047","RURAL",2000,4757
"F-08047","RURAL",2010,5441
"F-08049","RURAL",2010,14843
"F-08049","RURAL",2000,12442
"F-08051","RURAL",2000,13956
"F-08051","RURAL",2010,15324
"F-08053","RURAL",2010,843
"F-08053","RURAL",2000,790
"F-08055","RURAL",2000,7862
"F-08055","RURAL",2010,6711
"F-08057","RURAL",2010,1394
"F-08057","RURAL",2000,1577
"F-08059","DENVER, CO",2010,534543
"F-08059","DENVER, CO",2000,527056
"F-08061","RURAL",2010,1398
"F-08061","RURAL",2000,1622
"F-08063","RURAL",2010,8270
"F-08063","RURAL",2000,8011
"F-08065","RURAL",2000,7812
"F-08065","RURAL",2010,7310
"F-08067","RURAL",2000,43941
"F-08067","RURAL",2010,51334
"F-08069","FORT COLLINS, CO",2000,251494
"F-08069","FORT COLLINS, CO",2010,299630
"F-08071","RURAL",2000,15207
"F-08071","RURAL",2010,15507
"F-08073","RURAL",2010,5467
"F-08073","RURAL",2000,6087
"F-08075","RURAL",2000,20504
"F-08075","RURAL",2010,22709
"F-08077","GRAND JCT, CO",2000,116255
"F-08077","GRAND JCT, CO",2010,146723
"F-08079","RURAL",2010,712
"F-08079","RURAL",2000,831
"F-08081","RURAL",2000,13184
"F-08081","RURAL",2010,13795
"F-08083","RURAL",2010,25535
"F-08083","RURAL",2000,23830
"F-08085","RURAL",2000,33432
"F-08085","RURAL",2010,41276
"F-08087","RURAL",2000,27171
"F-08087","RURAL",2010,28159
"F-08089","RURAL",2000,20311
"F-08089","RURAL",2010,18831
"F-08091","RURAL",2010,4436
"F-08091","RURAL",2000,3742
"F-08093","RURAL",2010,16206
"F-08093","RURAL",2000,14523
"F-08095","RURAL",2010,4442
"F-08095","RURAL",2000,4480
"F-08097","RURAL",2010,17148
"F-08097","RURAL",2000,14872
"F-08099","RURAL",2010,12551
"F-08099","RURAL",2000,14483
"F-08101","PUEBLO, CO",2010,159063
"F-08101","PUEBLO, CO",2000,141472
"F-08103","RURAL",2000,5986
"F-08103","RURAL",2010,6666
"F-08105","RURAL",2010,11982
"F-08105","RURAL",2000,12413
"F-08107","RURAL",2010,23509
"F-08107","RURAL",2000,19690
"F-08109","RURAL",2010,6108
"F-08109","RURAL",2000,5917
"F-08111","RURAL",2000,558
"F-08111","RURAL",2010,699
"F-08113","RURAL",2000,6594
"F-08113","RURAL",2010,7359
"F-08115","RURAL",2010,2379
"F-08115","RURAL",2000,2747
"F-08117","RURAL",2000,23548
"F-08117","RURAL",2010,27994
"F-08119","RURAL",2000,20555
"F-08119","RURAL",2010,23350
"F-08121","RURAL",2000,4926
"F-08121","RURAL",2010,4814
"F-08123","DENVER, CO",2000,180936
"F-08123","DENVER, CO",2010,252825
"F-08125","RURAL",2010,10043
"F-08125","RURAL",2000,9841
"F-09001","NEW YORK, NY",2000,882567
"F-09001","NEW YORK, NY",2010,916829
"F-09003","HARTFORD, CT",2010,894014
"F-09003","HARTFORD, CT",2000,857183
"F-09005","RURAL",2010,189927
"F-09005","RURAL",2000,182193
"F-09007","HARTFORD, CT",2010,165676
"F-09007","HARTFORD, CT",2000,155071
"F-09009","NEW YORK, NY",2010,862477
"F-09009","NEW YORK, NY",2000,824008
"F-09011","NEW LONDON, CT",2000,259088
"F-09011","NEW LONDON, CT",2010,274055
"F-09013","HARTFORD, CT",2000,136364
"F-09013","HARTFORD, CT",2010,152691
"F-09015","RURAL",2010,118428
"F-09015","RURAL",2000,109091
"F-10001","DOVER, DE",2000,126697
"F-10001","DOVER, DE",2010,162310
"F-10003","PHILADELPHIA, PA",2000,500265
"F-10003","PHILADELPHIA, PA",2010,538479
"F-10005","RURAL",2000,156638
"F-10005","RURAL",2010,197145
"F-11001","WASHINGTON, DC",2010,601723
"F-11001","WASHINGTON, DC",2000,572059
"F-12001","GAINESVILLE, FL",2000,217955
"F-12001","GAINESVILLE, FL",2010,247336
"F-12003","RURAL",2010,27115
"F-12003","RURAL",2000,22259
"F-12005","PANAMA CITY, FL",2010,168852
"F-12005","PANAMA CITY, FL",2000,148217
"F-12007","RURAL",2010,28520
"F-12007","RURAL",2000,26088
"F-12009","MELBOURNE, FL",2010,543376
"F-12009","MELBOURNE, FL",2000,476230
"F-12011","FT LAUDERDALE, FL",2010,1748066
"F-12011","FT LAUDERDALE, FL",2000,1623018
"F-12013","RURAL",2010,14625
"F-12013","RURAL",2000,13017
"F-12015","PUNTA GORDA, FL",2010,159978
"F-12015","PUNTA GORDA, FL",2000,141627
"F-12017","RURAL",2000,118085
"F-12017","RURAL",2010,141236
"F-12019","JACKSONVILLE, FL",2000,140814
"F-12019","JACKSONVILLE, FL",2010,190865
"F-12021","NAPLES, FL",2000,251377
"F-12021","NAPLES, FL",2010,321520
"F-12023","RURAL",2010,67531
"F-12023","RURAL",2000,56513
"F-12027","RURAL",2000,32209
"F-12027","RURAL",2010,34862
"F-12029","RURAL",2010,16422
"F-12029","RURAL",2000,13827
"F-12031","JACKSONVILLE, FL",2010,864263
"F-12031","JACKSONVILLE, FL",2000,778879
"F-12033","PENSACOLA, FL",2000,294410
"F-12033","PENSACOLA, FL",2010,297619
"F-12035","DAYTONA BEACH, FL",2000,49832
"F-12035","DAYTONA BEACH, FL",2010,95696
"F-12037","RURAL",2010,11549
"F-12037","RURAL",2000,11057
"F-12039","TALLAHASSEE, FL",2010,46389
"F-12039","TALLAHASSEE, FL",2000,45087
"F-12041","RURAL",2000,14437
"F-12041","RURAL",2010,16939
"F-12043","RURAL",2000,10576
"F-12043","RURAL",2010,12884
"F-12045","RURAL",2010,15863
"F-12045","RURAL",2000,13332
"F-12047","RURAL",2000,13327
"F-12047","RURAL",2010,14799
"F-12049","RURAL",2000,26938
"F-12049","RURAL",2010,27731
"F-12051","RURAL",2000,36210
"F-12051","RURAL",2010,39140
"F-12053","TAMPA, FL",2010,172778
"F-12053","TAMPA, FL",2000,130802
"F-12055","RURAL",2010,98786
"F-12055","RURAL",2000,87366
"F-12057","TAMPA, FL",2000,998948
"F-12057","TAMPA, FL",2010,1229226
"F-12059","RURAL",2000,18564
"F-12059","RURAL",2010,19927
"F-12061","RURAL",2000,112947
"F-12061","RURAL",2010,138028
"F-12063","RURAL",2000,46755
"F-12063","RURAL",2010,49746
"F-12065","RURAL",2010,14761
"F-12065","RURAL",2000,12902
"F-12067","RURAL",2000,7022
"F-12067","RURAL",2010,8870
"F-12069","ORLANDO, FL",2010,297052
"F-12069","ORLANDO, FL",2000,210528
"F-12071","FORT MYERS, FL",2000,440888
"F-12071","FORT MYERS, FL",2010,618754
"F-12073","TALLAHASSEE, FL",2000,239452
"F-12073","TALLAHASSEE, FL",2010,275487
"F-12075","RURAL",2000,34450
"F-12075","RURAL",2010,40801
"F-12077","RURAL",2000,7021
"F-12077","RURAL",2010,8365
"F-12079","RURAL",2000,18733
"F-12079","RURAL",2010,19224
"F-12081","SARASOTA, FL",2010,322833
"F-12081","SARASOTA, FL",2000,264002
"F-12083","OCALA, FL",2010,331298
"F-12083","OCALA, FL",2000,258916
"F-12085","STUART, FL",2000,126731
"F-12085","STUART, FL",2010,146318
"F-12086","FT LAUDERDALE, FL",2000,2253362
"F-12086","FT LAUDERDALE, FL",2010,2496435
"F-12087","RURAL",2010,73090
"F-12087","RURAL",2000,79589
"F-12089","JACKSONVILLE, FL",2010,73314
"F-12089","JACKSONVILLE, FL",2000,57663
"F-12091","FT WALTON BCH, FL",2010,180822
"F-12091","FT WALTON BCH, FL",2000,170498
"F-12093","RURAL",2000,35910
"F-12093","RURAL",2010,39996
"F-12095","ORLANDO, FL",2000,896344
"F-12095","ORLANDO, FL",2010,1145956
"F-12097","ORLANDO, FL",2000,172493
